id,name,overview,tagline,first_air_date,vote_average,vote_count,popularity,original_language,status,type,number_of_seasons,number_of_episodes,networks,genres,production_companies,content_rating,top_cast,directors,writers,keywords
81290,The Kominsky Method,"An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.",Some friendships never get old.,2018-11-16,7.5,307,21.2483,en,Ended,Scripted,3,22,['Netflix'],"['Comedy', 'Drama']","['Chuck Lorre Productions', 'Warner Bros. Television']",,"['Michael Douglas', 'Sarah Baker', 'Nancy Travis', 'Kathleen Turner']",[],[],"['funeral', 'aging', 'daughter', 'friendship', 'family relationships', 'best friend', 'elderly couple', 'elderly', 'acting lesson', 'senior sex', 'prostate']"
90260,I Am Not Okay with This,"Angsty Syd navigates high school awkwardness, family drama and an unrequited crush on her best friend while trying to rein in her budding superpowers.",,2020-02-26,8.024,1854,21.0951,en,Canceled,Scripted,1,7,['Netflix'],"['Drama', 'Comedy', 'Sci-Fi & Fantasy']","['21 Laps Entertainment', 'Raindrop Valley', 'Ceremony Pictures']",,"['Sophia Lillis', 'Wyatt Oleff', 'Sofia Bryant', 'Kathleen Rose Perkins']",['Jonathan Entwistle'],"['Dan Levine', 'Shawn Levy', 'Jonathan Entwistle', 'Christy Hall', 'Josh Barry', 'Dan Cohen']","['adolescence', 'diary', 'friendship', 'supernatural', 'based on comic', 'romance', 'female protagonist', 'super power', 'lgbt teen']"
112160,The Way of the Househusband,"After disappearing from the underworld, the legendary yakuza known as the ""Immortal Dragon"" resurfaces — as a fiercely devoted stay-at-home husband.",,2021-04-08,8.4,451,21.0677,ja,Ended,Scripted,2,15,['Netflix'],"['Animation', 'Comedy']",['J.C.STAFF'],,"['Kenjiro Tsuda', 'Shizuka Itoh', 'Kazuyuki Okitsu']",[],['Taiki Sakurai'],"['yakuza', 'romance', 'slice of life', 'mafia', 'based on manga', 'seinen', 'housework', 'anime', 'gastronomy', 'gokudo', 'stay-at-home husband']"
221504,Unicorn Academy,"When a dark force threatens to destroy Unicorn Island, a brave teen and her five schoolmates must rise up to protect their beloved magical academy.",Magical bonds. Unlimited possibilities.,2023-11-02,7.8,47,20.9555,en,Returning Series,Scripted,3,20,['Netflix'],"['Sci-Fi & Fantasy', 'Action & Adventure', 'Kids', 'Animation', 'Comedy', 'Family']",['Spin Master'],,[],[],[],"[""based on children's book"", 'educational', 'unicorn']"
73126,American Vandal,A true-crime satire that explores the aftermath of a costly high school prank that left twenty-seven faculty cars vandalized with phallic images.,Who drew the dicks?,2017-09-15,7.4,306,20.7692,en,Canceled,Scripted,2,16,['Netflix'],"['Comedy', 'Crime']","['3 Arts Entertainment', 'CBS Studios', 'Funny or Die', 'One Man Canoe', 'Woodhead Entertainment']",,"['Tyler Alvarez', 'Griffin Gluck']",[],"['Tony Yacenda', 'Joe Farrell', 'Dan Perrault', 'Dan Lagana', 'Josh Lieberman', 'Ari Lubet', 'Michael Rotenberg']","['vandalism', 'graffiti', 'mockumentary', 'spoof', 'found footage']"
247522,Tires,"At his father's auto shop, a hapless manager strives to improve customer service and drive profits while keeping his troublemaking cousin in line.",,2024-05-23,6.07,43,20.7406,en,Returning Series,Scripted,2,18,['Netflix'],['Comedy'],"['Rough House Pictures', 'Dad Sick Productions', 'AGI Entertainment Media & Management']",,"['Steve Gerben', 'Shane Gillis', ""Chris O'Connor"", 'Kilah Fox', 'Stavros Halkias']",[],"['Brian Stern', 'Shane Gillis', 'McKeever', 'Kenneth Slotnick', 'Steve Gerben', 'Brandon James', 'Becky Astphan']",['sitcom']
127753,Johnny Test,"How much trouble could one imaginative boy, his faithful dog and two science-loving sisters possibly get into? Hmm, that sounds like a challenge!",,2021-07-16,6.531,16,20.5874,en,Ended,Scripted,2,40,['Netflix'],"['Animation', 'Comedy', 'Kids']",['WildBrain Studios'],,"['James Arnold Taylor', 'Trevor Devall', 'Ashleigh Ball', 'Maryke Hendrikse']",[],['Scott Fellows'],"['superhero', 'sisters']"
73275,True and the Rainbow Kingdom,"When something's wrong in the Rainbow Kingdom, bighearted guardian True and her best friend, Bartleby, are there to grant wishes and save the day.",,2017-08-11,8.5,20,20.3996,en,Returning Series,Scripted,5,58,['Netflix'],"['Animation', 'Kids', 'Comedy']","['Guru Studio', 'Home Plate Entertainment', 'i am OTHER']",,"['小真', '阿布', '彩虹王', '奇克', '雪娜']",[],"['Pharrell Williams', 'Mimi Valdés']",[]
106292,Julie and the Phantoms,Teenage Julie finds her passion for music and life while helping the Phantoms -- a trio of ghostly guys -- become the band they were never able to be.,She'll change their afterlife.,2020-09-10,8.428,595,20.3505,en,Canceled,Scripted,1,9,['Netflix'],"['Family', 'Comedy', 'Sci-Fi & Fantasy']",[],,"['Madison Reyes', 'Charlie Gillespie', 'Owen Patrick Joyner', 'Jeremy Shada', 'Jadah Marie']",[],"['Jaime Aymerich', 'Fabio Danesi', 'George Salinas', 'Marc Dworkin', 'Sean William Cunningham', 'Nora Sullivan', 'Leilani Downer', 'Leah Keith', 'Michel Tikhomiroff', 'Dan Cross', 'Kenny Ortega', 'David Hoge']","['musical', 'friendship', 'high school', 'female protagonist', 'lgbt', 'ghost', 'teenage protagonist']"
71577,The New Legends of Monkey,Follow a teenage girl and a trio of fallen gods on a perilous journey as they attempt to bring an end to a demonic reign of chaos and restore balance to their world. Inspired by the 16th Century Chinese fable “Journey to the West.”,,2018-01-28,7.1,191,20.3137,en,Ended,Scripted,2,20,"['TVNZ 1', 'ABC Me', 'Netflix']","['Sci-Fi & Fantasy', 'Action & Adventure', 'Comedy', 'Drama']","['Jump Film & TV', 'See-Saw Films', 'Jump Film and Television']",,"['Chai Hansen', 'Luciane Buchanan', 'Josh Thomson', 'Emilie Cocquerel', 'Natasha Daniel']",[],[],['journey to the west']
101918,Valeria,A writer in a creative and marital crisis finds refuge and support in her three best friends. Based on the novels by Elisabet Benavent.,,2020-05-08,7.4,236,20.0718,es,Ended,Scripted,4,30,['Netflix'],"['Comedy', 'Drama']",['Plano a plano'],,"['Diana Gómez', 'Silma López', 'Paula Malia', 'Teresa Riott', 'Maxi Iglesias']",[],[],"['infidelity', 'friendship', 'romcom', 'extramarital affair', 'seductress']"
197429,The Boss Baby: Back in the Crib,"Framed for a corporate crime, an adult Ted Templeton turns back into the Boss Baby to live undercover with his brother, Tim, posing as one of his kids.",,2022-05-19,7.4,155,20.0706,en,Canceled,Scripted,2,28,['Netflix'],"['Animation', 'Comedy', 'Family', 'Kids']",['DreamWorks Animation Television'],,"['JP Karliak', 'Mary Faber']",[],[],"['based on novel or book', 'sequel']"
94244,Obliterated,"A special forces team thwarts a deadly plot in Sin City and parties accordingly. But when the real threat emerges, they must sober up to save Las Vegas.",Even heroes get hangovers.,2023-11-30,7.027,169,19.9745,en,Canceled,Scripted,1,8,['Netflix'],"['Comedy', 'Action & Adventure', 'Drama']","['Sony Pictures Television', 'Counterbalance Entertainment']",,"['Shelley Hennig', 'Nick Zano', 'Terrence Terrell', 'Paola Lázaro', 'C. Thomas Howell']",[],"['Hayden Schlossberg', 'Jon Hurwitz', 'Josh Heald', 'Dina Hillier']","['special forces', 'intoxication', 'terrorist attack', 'dramedy']"
